aalib 1.4rc5-19
vulkan-intel 1:26.2.2-1
vulkan-mesa-implicit-layers 1:26.2.2-1
waybar 0.15.0-3
wayland 1.26.0-1
wayland-protocols 1.49-1
webkit2gtk-4.1 2.52.6-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
which 2.25-1
wiremix 0.11.0-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
woff2-font-awesome 7.3.1-1
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xapp 3.2.2-1
xapp-symbolic-icons 1.1.0-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-9
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-utils 1.2.1-2
xkeyboard-config 2.48-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yay 13.0.1-1
yay-debug 13.0.1-1
yyjson 0.12.0-1
zathura 2026.07.18-1
zathura-pdf-mupdf 2026.07.18-1
zen-browser-bin 1.21.10b-1
zeromq 4.3.5-3
zimg 3.0.6-2
zip 3.0-14
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zstd 1.5.7-3
